timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-08-22T22:21:39,codecarbon,6d23868b-6a18-4134-873f-017b07ac6e1b,2.8598480000000563,2.3763198026520057e-05,8.30925210938469e-06,27.0,9.191484104517537,5.754469871520996,2.144821649998448e-05,7.299172505997875e-06,4.560478114802764e-06,3.330786712078512e-05,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.5,2.6.0,16,AMD Ryzen 7 5800H with Radeon Graphics,1.0,1 x NVIDIA GeForce RTX 3060 Laptop GPU,72.8856,19.0748,15.345252990722656,machine,N,1.0
2025-05-11T16:26:26,codecarbon,10904dd9-44e0-4122-8a59-02356973ae56,2.727337799995439,9.09235850959524e-10,3.3337852427412713e-10,5.200800000000001,0.0,2.879648208618164,2.578823903338635e-07,0.0,1.245964587101238e-07,3.824788490439873e-07,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-71.2,46.8,7.679061889648437,machine,N,1.0
2025-05-11T16:27:29,codecarbon,b308a4c9-5e0a-4348-a9d5-f3e8ab3fae74,5.550267799990252,1.1951444996575213e-08,2.153309610861696e-09,2.9113,0.0,2.879648208618164,2.5346165973358628e-06,0.0,2.4928742587259702e-06,5.027490856061833e-06,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-71.2,46.8,7.679061889648437,machine,N,1.0
2025-05-11T16:28:44,codecarbon,7efb3d78-1914-4d2c-8361-61ff273b7275,2.607590400002664,1.0967410016422912e-09,4.2059558189858783e-10,3.921,0.0,2.879648208618164,2.700407948432015e-07,0.0,1.9131390819101421e-07,4.613547030342157e-07,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-71.2,46.8,7.679061889648437,machine,N,1.0
2025-05-11T16:29:49,codecarbon,69ca21f8-c038-4c86-b625-654e2e7e2c6e,2.650180099997669,9.54879732828093e-10,3.6030748733979744e-10,3.188090909090909,0.0,2.879648208618164,2.156909103546625e-07,0.0,1.8598847877423986e-07,4.016793891289023e-07,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-71.2,46.8,7.679061889648437,machine,N,1.0
2025-05-11T17:21:28,codecarbon,5bbbd93f-211e-4b6e-912c-14d4c3490f2a,2.6211315000255127,3.0371304553492745e-07,1.158709685233157e-07,3.4466,0.0,2.879648208618164,2.358302541638227e-07,0.0,1.898714444138137e-07,4.257016985776363e-07,India,IND,telangana,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,78.4583,17.3843,7.679061889648437,machine,N,1.0
2025-05-11T17:46:20,codecarbon,9b1cc3e1-ac95-44b6-acef-4734b91de17d,2.49670060002245,9.590964511881848e-10,3.8414556041663964e-10,3.5118,0.0,2.879648208618164,2.254216616215708e-07,0.0,1.78031530842746e-07,4.034531924643169e-07,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-71.2,46.8,7.679061889648437,machine,N,1.0
2025-05-11T17:57:56,codecarbon,65bf7e07-c8d8-4057-a928-4940d333787f,2.468819000001531,1.2810067994205113e-07,5.188743279356311e-08,3.7946,0.0,2.879648208618164,1.0742818276864677e-07,0.0,7.212510887292014e-08,1.795532916415669e-07,India,IND,telangana,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,78.4583,17.3843,7.679061889648437,machine,N,1.0
2025-05-11T18:01:51,codecarbon,49759094-5da2-4411-b9aa-ce74249cba05,2.460937700001523,1.3704186079932637e-07,5.568684684672903e-08,3.9126,0.0,2.879648208618164,1.162179140996838e-07,0.0,7.58678516459439e-08,1.9208576574562768e-07,India,IND,telangana,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,78.4583,17.3843,7.679061889648437,machine,N,1.0
2025-05-11T18:03:27,codecarbon,d2447f24-3941-4457-8c4a-4c91c9bd565c,2.9777395999990404,1.1334017270602963e-06,3.806248629197334e-07,5.446799999999999,0.0,2.879648208618164,1.051035861296812e-06,0.0,5.376052836055643e-07,1.5886411449023765e-06,India,IND,telangana,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,78.4583,17.3843,7.679061889648437,machine,N,1.0
2025-05-12T22:38:41,codecarbon,9d5e491c-2fc5-4cc7-8628-b414f1c61f17,2.6558854000177234,7.922406702397234e-10,2.9829625564206835e-10,5.3321000000000005,0.0,2.879648208618164,2.208575075155113e-07,0.0,1.1240618792649345e-07,3.3326369544200457e-07,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-71.2,46.8,7.679061889648437,machine,N,1.0
2025-05-12T22:39:26,codecarbon,0047a424-08f7-476e-b730-80db47b65cd1,2.3554358999826945,2.058225817679298e-07,8.738194988428341e-08,6.522200000000001,0.0,2.879648208618164,2.0531142789452377e-07,0.0,8.318135814935349e-08,2.884927860438772e-07,India,IND,maharashtra,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,75.3423,19.8776,7.679061889648437,machine,N,1.0
2025-05-12T22:40:05,codecarbon,256b9c85-905a-4979-b0fd-aca4b6147cee,2.5060413000173867,1.0316715638990862e-09,4.1167380756730887e-10,8.0106,0.0,2.879648208618164,3.243592072308432e-07,0.0,1.096234078795444e-07,4.339826151103876e-07,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-71.2,46.8,7.679061889648437,machine,N,1.0
2025-05-12T22:53:06,codecarbon,b70712aa-f603-4a5c-9186-d5f78e0e8ea2,2.527386700036004,7.439994010677283e-10,2.943749767525205e-10,5.317200000000001,0.0,2.879648208618164,2.0744007136032454e-07,0.0,1.0553046792219265e-07,3.129705392825172e-07,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-71.2,46.8,7.679061889648437,machine,N,1.0
2025-05-12T22:54:22,codecarbon,bed4a786-4f17-407f-b162-03e63a3f46ed,2.693773299979512,8.668586069784784e-07,3.218008757400155e-07,8.444099999999999,0.0,2.879648208618164,9.165118243119358e-07,0.0,2.985271305259251e-07,1.215038954837861e-06,India,IND,maharashtra,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,75.3423,19.8776,7.679061889648437,machine,N,1.0
2025-05-17T13:45:37,codecarbon,a2cf9ed4-33de-4595-aa9f-bdbdd338b33b,2.4723915999929886,1.0881422697099947e-07,4.401172814666902e-08,6.1303,0.0,2.879648208618164,1.0766032856095989e-07,0.0,4.4859959691326516e-08,1.525202882522864e-07,India,IND,telangana,,,Windows-10-10.0.26100-SP0,3.11.9,2.6.0,12,12th Gen Intel(R) Core(TM) i5-1235U,,,78.4583,17.3843,7.6790618896484375,machine,N,1.0
